Date,Price,Open,High,Low
19-Sep-23,27.2092,26.759,27.4807,26.6722
18-Sep-23,26.7635,26.5303,27.4133,26.4052
17-Sep-23,26.5291,26.562,26.6144,26.4087
16-Sep-23,26.562,26.5999,26.769,26.4635
15-Sep-23,26.601,26.5233,26.8374,26.2331
14-Sep-23,26.5247,26.223,26.7603,26.1486
13-Sep-23,26.223,25.8361,26.3823,25.7669
12-Sep-23,25.8345,25.1664,26.4726,25.1335
11-Sep-23,25.1664,25.8402,25.8974,24.9231
10-Sep-23,25.8402,25.9011,25.9951,25.6267
09-Sep-23,25.9011,25.9095,25.9385,25.8143
08-Sep-23,25.9095,26.2485,26.4154,25.7016
07-Sep-23,26.2498,25.758,26.4177,25.6265
06-Sep-23,25.758,25.7901,26.0184,25.4117
05-Sep-23,25.7902,25.8244,25.864,25.5963
04-Sep-23,25.8233,25.971,26.0942,25.6609
03-Sep-23,25.971,25.8697,26.0904,25.8166
02-Sep-23,25.8697,25.8035,25.9774,25.7527
01-Sep-23,25.8032,25.9383,26.1449,25.3619
31-Aug-23,25.9373,27.3006,27.4645,25.731
30-Aug-23,27.2988,27.7239,27.7573,27.0432
29-Aug-23,27.7239,26.1181,28.046,25.9198
28-Aug-23,26.1189,26.1006,26.2157,25.891
27-Aug-23,26.1006,26.0171,26.1768,25.9687
26-Aug-23,26.0171,26.0572,26.1141,25.9935
25-Aug-23,26.0572,26.1761,26.2657,25.8116
24-Aug-23,26.177,26.4362,26.5605,25.9436
23-Aug-23,26.4362,26.042,26.8077,25.8126
22-Aug-23,26.0399,26.1268,26.1388,25.4819
21-Aug-23,26.126,26.1908,26.2209,25.8508
20-Aug-23,26.1908,26.0995,26.2691,25.9985
19-Aug-23,26.0994,26.0533,26.2622,25.7995
18-Aug-23,26.0532,26.6357,26.8019,25.691
17-Aug-23,26.6357,28.7261,28.7718,25.4894
16-Aug-23,28.7263,29.1953,29.2511,28.7176
15-Aug-23,29.1953,29.4267,29.472,29.1186
14-Aug-23,29.4267,29.3001,29.689,29.116
13-Aug-23,29.3001,29.4282,29.4685,29.2723
12-Aug-23,29.4282,29.4208,29.4808,29.3754
11-Aug-23,29.4208,29.4489,29.5449,29.2712
10-Aug-23,29.449,29.578,29.7194,29.3775
09-Aug-23,29.578,29.7713,30.104,29.3842
08-Aug-23,29.7774,29.2042,30.1686,29.1377
07-Aug-23,29.2042,29.0813,29.2702,28.721
06-Aug-23,29.0813,29.0679,29.1989,28.9874
05-Aug-23,29.0681,29.1056,29.1393,28.983
04-Aug-23,29.1055,29.1891,29.3191,28.8758
03-Aug-23,29.1893,29.1809,29.4098,28.981
02-Aug-23,29.1737,29.7118,30.0259,28.9616
01-Aug-23,29.7122,29.2323,29.7122,28.611
31-Jul-23,29.2324,29.282,29.5023,29.1283
30-Jul-23,29.2817,29.3542,29.4466,29.0545
29-Jul-23,29.3535,29.315,29.4001,29.2569
28-Jul-23,29.315,29.2227,29.533,29.1251
27-Jul-23,29.2227,29.3529,29.5688,29.094
26-Jul-23,29.3522,29.2288,29.6818,29.1097
25-Jul-23,29.2286,29.1783,29.3654,29.0587
24-Jul-23,29.1781,30.0859,30.0982,28.8907
23-Jul-23,30.0859,29.7889,30.337,29.7357
22-Jul-23,29.7889,29.9045,29.988,29.6573
21-Jul-23,29.9031,29.801,30.0589,29.7399
20-Jul-23,29.801,29.9097,30.408,29.6214
19-Jul-23,29.9097,29.8667,30.1855,29.7893
18-Jul-23,29.8668,30.1397,30.2424,29.6246
17-Jul-23,30.1397,30.2355,30.3359,29.6933
16-Jul-23,30.2355,30.2918,30.435,30.0754
15-Jul-23,30.2914,30.3168,30.3954,30.2469
14-Jul-23,30.3174,31.4654,31.6026,29.9443
13-Jul-23,31.4661,30.3873,31.7645,30.26
12-Jul-23,30.3873,30.6233,30.9513,30.2317
11-Jul-23,30.6233,30.4142,30.7822,30.3338
10-Jul-23,30.4153,30.1669,31.0196,29.9691
09-Jul-23,30.1669,30.2888,30.4255,30.0719
08-Jul-23,30.2888,30.3468,30.3799,30.0559
07-Jul-23,30.3464,29.9127,30.442,29.7574
06-Jul-23,29.9131,30.5128,31.4636,29.869
05-Jul-23,30.5128,30.7686,30.8756,30.2333
04-Jul-23,30.7684,31.152,31.3265,30.6578
03-Jul-23,31.1513,30.6175,31.377,30.5815
02-Jul-23,30.6177,30.5871,30.769,30.2279
01-Jul-23,30.5868,30.4729,30.6499,30.329
30-Jun-23,30.4729,30.4457,31.2755,29.7145
29-Jun-23,30.4457,30.0773,30.8231,30.0513
28-Jun-23,30.0786,30.6919,30.7034,29.9195
27-Jun-23,30.6891,30.267,30.9937,30.2313
26-Jun-23,30.267,30.4663,30.6459,29.9863
25-Jun-23,30.4653,30.5336,31.0402,30.3158
24-Jun-23,30.5336,30.6807,30.7953,30.2694
23-Jun-23,30.6794,29.8902,31.3954,29.8226
22-Jun-23,29.8905,29.9928,30.4978,29.5904
21-Jun-23,29.9969,28.3077,30.7695,28.2705
20-Jun-23,28.3077,26.8459,28.393,26.6655
19-Jun-23,26.8459,26.3397,27.0297,26.2951
18-Jun-23,26.3397,26.515,26.6793,26.2906
17-Jun-23,26.515,26.3413,26.7673,26.1835
16-Jun-23,26.3413,25.5919,26.4728,25.276
15-Jun-23,25.5913,25.1295,25.7328,24.838
14-Jun-23,25.1295,25.929,26.0517,24.8474
13-Jun-23,25.9294,25.9069,26.4289,25.7264
12-Jun-23,25.9068,25.9279,26.0807,25.635
11-Jun-23,25.9284,25.8433,26.1901,25.6608
10-Jun-23,25.844,26.4793,26.5251,25.4683
09-Jun-23,26.4793,26.5011,26.7739,26.3267
